Country,Value
Zagreb,790017
Split,178102
Rijeka,128624
Osijek,108048
Zadar,75062
Velika Gorica,63517
Slavonski Brod,59141
Pula - Pola,57460
Karlovac,55705
Sisak,47768
Varaždin,46946
Šibenik,46332
Dubrovnik,42615
Bjelovar,40276
Kaštela,38667
Samobor,37633
Vinkovci,35312
Koprivnica,30854
Đakovo,27745
Vukovar,27683
Čakovec,27104
Požega,26248
Zaprešić,25223
Sinj,24826
Petrinja,24671
Solin,23926
Kutina,22760
Virovitica,21291
Križevci,21122
Sveta Nedelja,18059
Viškovo,14445
Nedelišće,11975
Popovača,11905
Čepin,11599
Matulji,11246
Brdovec,11134
Pitomača,10059
Podstrana,9129
Konavle,8577
Župa dubrovačka,8331
Bedekovčina,8041
Ivankovo,8006
Rugvica,7871
Erdut,7308
Čavle,7220
Dugi Rat,7092
Križ,6963
Darda,6908
Sibinj,6895
Trnovec Bartolovečki,6884
Brckovljani,6837
Đurđenovac,6750
Suhopolje,6683
Bistra,6632
Medulin,6481
Maruševec,6381
Sveti Križ Začretje,6165
Kloštar Ivanić,6091
Lekenik,6032
Marija Bistrica,5976
